name,ingredients,diet,prep_time,cook_time,total_time,flavour,dish_type,state,region,health_score,health_status
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,70,sweet,dessert,west bengal,east,-8,Unhealthy
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,110,sweet,dessert,rajasthan,west,-4,Unhealthy
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,75,sweet,dessert,punjab,north,0,Balanced
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,45,sweet,dessert,rajasthan,west,2,Balanced
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,55,sweet,dessert,west bengal,east,-14,Unhealthy
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,60,sweet,dessert,west bengal,east,-5,Unhealthy
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,60,sweet,dessert,uttar pradesh,north,8,Healthy
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,30,sweet,dessert,maharashtra,west,-2,Balanced
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,50,sweet,dessert,west bengal,east,-3,Unhealthy
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,50,sweet,dessert,uttar pradesh,north,-3,Unhealthy
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,50,sweet,dessert,maharashtra,west,-4,Unhealthy
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,10,sweet,dessert,punjab,north,-1,Balanced
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,50,sweet,dessert,gujarat,west,-1,Balanced
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,40,sweet,dessert,uttar pradesh,north,-1,Balanced
Phirni,"Rice, sugar, nuts",vegetarian,30,20,50,sweet,dessert,odisha,east,-5,Unhealthy
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,55,sweet,dessert,uttar pradesh,north,-10,Unhealthy
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,35,sweet,dessert,maharashtra,west,-2,Balanced
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,30,sweet,dessert,uttarakhand,north,-2,Balanced
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,70,sweet,dessert,uttar pradesh,north,-2,Balanced
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,70,60,130,sweet,dessert,maharashtra,west,1,Balanced
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,60,sweet,dessert,odisha,east,-7,Unhealthy
Chhena kheeri,"Chhena, sugar, milk",vegetarian,27,60,87,sweet,dessert,odisha,east,-3,Unhealthy
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,55,sweet,dessert,odisha,east,-5,Unhealthy
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,100,sweet,dessert,west bengal,east,-9,Unhealthy
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,85,sweet,dessert,odisha,east,-5,Unhealthy
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,90,sweet,dessert,west bengal,east,-7,Unhealthy
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,50,sweet,dessert,assam,north east,-5,Unhealthy
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,130,sweet,dessert,bihar,north,0,Balanced
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,45,sweet,dessert,west bengal,east,-4,Unhealthy
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,90,sweet,dessert,west bengal,east,-7,Unhealthy
Pithe,"Rice flour, wheat flour",vegetarian,15,35,50,sweet,dessert,assam,north east,2,Balanced
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,45,sweet,dessert,odisha,east,-3,Unhealthy
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,100,sweet,dessert,west bengal,east,0,Balanced
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,50,sweet,dessert,west bengal,east,0,Balanced
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,60,sweet,dessert,west bengal,east,-8,Unhealthy
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,90,sweet,dessert,andhra pradesh,south,-5,Unhealthy
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,40,sweet,dessert,andhra pradesh,south,-9,Unhealthy
Chikki,"Peanuts, jaggery",vegetarian,10,20,30,sweet,dessert,maharashtra,west,1,Balanced
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,80,sweet,dessert,karnataka,south,-4,Unhealthy
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,50,sweet,dessert,telangana,south,1,Balanced
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,40,sweet,dessert,andhra pradesh,south,-8,Unhealthy
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,40,sweet,dessert,andhra pradesh,south,-3,Unhealthy
Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,30,sweet,dessert,kerala,south,4,Healthy
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,25,sweet,dessert,karnataka,south,-4,Unhealthy
Palathalikalu,"Rice flour, milk",vegetarian,10,25,35,sweet,dessert,andhra pradesh,south,1,Balanced
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,25,sweet,dessert,tamil nadu,south,-3,Unhealthy
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,70,sweet,dessert,andhra pradesh,south,-8,Unhealthy
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,30,sweet,dessert,telangana,south,-2,Balanced
Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,30,sweet,dessert,telangana,south,-2,Balanced
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,30,sweet,dessert,tamil nadu,south,1,Balanced
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,55,sweet,dessert,andhra pradesh,south,-2,Balanced
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,60,sweet,dessert,maharashtra,west,2,Balanced
Basundi,"Sugar, milk, nuts",vegetarian,10,35,45,sweet,dessert,gujarat,west,-4,Unhealthy
Dhondas,"Cucumber, rava",vegetarian,10,50,60,sweet,dessert,maharashtra,west,4,Healthy
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,70,sweet,dessert,gujarat,west,-3,Unhealthy
Mahim halwa,"Semolina, sugar",vegetarian,10,25,35,sweet,dessert,maharashtra,west,-5,Unhealthy
Modak,"Rice flour, coconut, jaggery ",vegetarian,10,15,25,sweet,dessert,maharashtra,west,-2,Balanced
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,45,sweet,dessert,maharashtra,west,-12,Unhealthy
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,5,15,sweet,dessert,maharashtra,west,2,Balanced
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,70,sweet,dessert,maharashtra,west,-12,Unhealthy
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,50,spicy,main course,assam,north east,20,Healthy
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,27,36,63,spicy,main course,tripura,north east,0,Balanced
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,20,spicy,main course,nagaland,north east,-1,Balanced
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,30,spicy,main course,punjab,north,10,Healthy
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,25,spicy,main course,punjab,north,1,Balanced
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,45,spicy,main course,punjab,north,13,Healthy
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,50,bitter,main course,punjab,north,4,Healthy
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,50,spicy,main course,punjab,north,5,Healthy
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,40,spicy,main course,punjab,north,4,Healthy
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,50,spicy,main course,punjab,north,12,Healthy
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,150,spicy,main course,telangana,south,6,Healthy
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,45,spicy,main course,nct of delhi,north,1,Balanced
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,50,spicy,main course,punjab,north,14,Healthy
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,20,unknown,main course,maharashtra,west,2,Balanced
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,45,spicy,main course,west bengal,east,12,Healthy
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,60,spicy,main course,punjab,north,-6,Unhealthy
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,165,spicy,starter,punjab,north,7,Healthy
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,50,spicy,main course,punjab,north,4,Healthy
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,100,spicy,main course,rajasthan,west,18,Healthy
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,60,spicy,main course,west bengal,east,4,Healthy
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,70,sweet,main course,punjab,north,4,Healthy
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,40,spicy,main course,punjab,north,12,Healthy
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,70,spicy,main course,jammu & kashmir,north,11,Healthy
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,50,spicy,starter,maharashtra,west,2,Balanced
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,70,spicy,starter,chhattisgarh,central,14,Healthy
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,90,spicy,starter,uttar pradesh,north,8,Healthy
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,50,spicy,main course,punjab,north,7,Healthy
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,70,spicy,main course,haryana,north,12,Healthy
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,70,bitter,main course,punjab,north,9,Healthy
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,40,20,60,spicy,main course,gujarat,west,16,Healthy
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,60,spicy,main course,uttar pradesh,north,-2,Balanced
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,45,25,70,sweet,dessert,delhi,north,-2,Balanced
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,60,spicy,main course,uttar pradesh,north,12,Healthy
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,10,20,30,spicy,main course,uttar pradesh,north,7,Healthy
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,105,spicy,main course,bihar,north,14,Healthy
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,55,spicy,main course,punjab,north,14,Healthy
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,60,spicy,main course,punjab,north,3,Healthy
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,40,spicy,main course,punjab,north,4,Healthy
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,40,spicy,main course,punjab,north,7,Healthy
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,60,30,90,unknown,main course,punjab,north,4,Healthy
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,65,spicy,main course,uttar pradesh,north,9,Healthy
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,60,spicy,main course,punjab,north,-2,Balanced
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,60,spicy,main course,punjab,north,-5,Unhealthy
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,60,spicy,main course,punjab,north,5,Healthy
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,17,spicy,starter,maharashtra,west,5,Healthy
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,35,sweet,dessert,uttar pradesh,north,11,Healthy
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,5,5,10,spicy,starter,rajasthan,west,7,Healthy
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,15,45,60,spicy,main course,punjab,north,3,Healthy
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,30,40,spicy,main course,rajasthan,west,8,Healthy
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,105,spicy,main course,punjab,north,14,Healthy
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,40,unknown,main course,punjab,north,13,Healthy
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,60,spicy,starter,uttar pradesh,north,9,Healthy
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,10,20,30,spicy,main course,bihar,north,8,Healthy
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,60,spicy,main course,punjab,north,5,Healthy
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,40,sweet,dessert,telangana,south,1,Balanced
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,40,spicy,main course,punjab,north,12,Healthy
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,90,30,120,spicy,starter,punjab,north,7,Healthy
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,175,spicy,starter,andhra pradesh,south,11,Healthy
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,75,spicy,main course,kerala,south,16,Healthy
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,75,spicy,main course,karnataka,south,19,Healthy
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,30,spicy,main course,tamil nadu,south,11,Healthy
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,120,30,150,spicy,starter,tamil nadu,south,0,Balanced
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,55,unknown,starter,kerala,south,4,Healthy
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,27,36,63,spicy,main course,tamil nadu,south,9,Healthy
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,50,spicy,main course,tamil nadu,south,15,Healthy
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,27,36,63,spicy,main course,tamil nadu,south,7,Healthy
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,30,spicy,main course,tamil nadu,south,12,Healthy
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,50,spicy,main course,tamil nadu,south,7,Healthy
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,10,60,70,spicy,main course,kerala,south,0,Balanced
Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,10,15,25,spicy,main course,tamil nadu,south,16,Healthy
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,30,spicy,main course,tamil nadu,south,12,Healthy
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,30,spicy,main course,karnataka,south,8,Healthy
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,30,spicy,main course,tamil nadu,south,7,Healthy
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,100,spicy,main course,tamil nadu,south,-1,Balanced
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,35,spicy,main course,tamil nadu,south,11,Healthy
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,35,unknown,main course,andhra pradesh,south,10,Healthy
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,30,unknown,main course,tamil nadu,south,7,Healthy
Papadum,"Lentils, black pepper, vegetable oil",vegetarian,5,5,10,spicy,starter,kerala,south,6,Healthy
Paravannam,"Raw rice,  jaggery, milk",vegetarian,27,36,63,spicy,main course,kerala,south,-1,Balanced
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,45,sweet,dessert,kerala,south,-1,Balanced
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,30,unknown,main course,tamil nadu,south,12,Healthy
Pesarattu,"Green moong beans, rice flour",vegetarian,120,20,140,spicy,starter,andhra pradesh,south,4,Healthy
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",vegetarian,40,36,76,spicy,main course,tamil nadu,south,11,Healthy
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,30,unknown,main course,tamil nadu,south,3,Healthy
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,45,spicy,main course,tamil nadu,south,12,Healthy
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,65,spicy,main course,tamil nadu,south,12,Healthy
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,180,unknown,main course,karnataka,south,5,Healthy
Sevai,"Sevai, parboiled rice, steamer",vegetarian,120,30,150,unknown,main course,tamil nadu,south,1,Balanced
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,30,unknown,main course,tamil nadu,south,15,Healthy
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,35,unknown,main course,kerala,south,6,Healthy
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",vegetarian,10,20,30,spicy,starter,tamil nadu,south,8,Healthy
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,15,20,35,spicy,starter,tamil nadu,south,11,Healthy
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",non vegetarian,10,35,45,spicy,main course,tamil nadu,south,15,Healthy
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,10,20,30,spicy,starter,tamil nadu,south,6,Healthy
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,10,45,55,spicy,main course,maharashtra,west,8,Healthy
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",vegetarian,10,25,35,spicy,main course,maharashtra,west,13,Healthy
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",non vegetarian,27,36,63,spicy,main course,maharashtra,west,11,Healthy
Saath,"Urad dal, potatoes, wheat flour, sooji",vegetarian,20,40,60,spicy,main course,gujarat,west,6,Healthy
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",vegetarian,10,10,20,spicy,main course,gujarat,west,2,Balanced
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,20,30,50,sweet,dessert,maharashtra,west,-1,Balanced
Bhakri,"Jowar flour, sesame seeds",vegetarian,20,25,45,unknown,main course,maharashtra,west,4,Healthy
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,27,36,63,spicy,main course,maharashtra,west,3,Healthy
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,10,40,50,spicy,starter,maharashtra,west,1,Balanced
Chevdo,"Citric acid, fry, raisins, sugar, chana daal",vegetarian,20,30,50,spicy,starter,gujarat,west,0,Balanced
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,5,15,20,spicy,starter,gujarat,west,4,Healthy
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,20,30,50,unknown,main course,gujarat,west,-10,Unhealthy
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,20,30,50,spicy,main course,gujarat,west,3,Healthy
Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise",vegetarian,30,10,40,spicy,starter,gujarat,west,7,Healthy
