name,ingredients,diet,prep_time,cook_time,total_time,flavour,dish_type,state,region,health_score,health_status
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,60,unknown,starter,maharashtra,west,5,Healthy
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,5,20,25,unknown,main course,maharashtra,west,7,Healthy
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,30,spicy,starter,gujarat,west,4,Healthy
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",vegetarian,15,30,45,sweet,dessert,gujarat,west,-3,Unhealthy
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,10,20,30,spicy,main course,rajasthan,west,8,Healthy
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,10,20,30,sweet,dessert,gujarat,west,-3,Unhealthy
Ghooghra,"Dry fruits, semolina, all purpose flour",vegetarian,27,36,63,spicy,starter,gujarat,west,-3,Unhealthy
Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",vegetarian,20,30,50,spicy,starter,gujarat,west,19,Healthy
Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,45,36,81,sweet,dessert,gujarat,west,8,Healthy
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,10,30,40,spicy,main course,gujarat,west,1,Balanced
Kansar,"Wheat flour, cashews, rapeseed oil",vegetarian,10,40,50,unknown,main course,gujarat,west,5,Healthy
Keri no ras,"Mango, sugar",vegetarian,10,10,20,sweet,main course,gujarat,west,-2,Balanced
Khakhra,"Whole wheat flour, low fat, bengal gram flour",vegetarian,20,40,60,spicy,starter,gujarat,west,3,Healthy
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,20,45,65,spicy,starter,gujarat,west,8,Healthy
Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,10,25,35,spicy,starter,maharashtra,west,14,Healthy
Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",vegetarian,10,40,50,spicy,main course,madhya pradesh,central,-1,Balanced
Koshimbir,"Cucumber, carrot, tomatoes, cilantro",vegetarian,10,10,20,spicy,main course,maharashtra,west,16,Healthy
Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,15,30,45,bitter,main course,gujarat,west,14,Healthy
Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron",vegetarian,5,45,50,sweet,dessert,gujarat,west,8,Healthy
Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,15,30,45,bitter,starter,gujarat,west,11,Healthy
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,40,50,spicy,starter,gujarat,west,8,Healthy
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,60,spicy,main course,maharashtra,west,9,Healthy
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",vegetarian,10,30,40,spicy,main course,maharashtra,west,7,Healthy
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,70,30,100,spicy,starter,maharashtra,west,5,Healthy
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,20,30,50,spicy,main course,gujarat,west,3,Healthy
Sev tameta,"Sev, ginger, tomato, sugar",vegetarian,20,30,50,spicy,main course,gujarat,west,3,Healthy
Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,10,35,45,spicy,starter,gujarat,west,0,Balanced
Sukhdi,"Whole wheat flour, gur, clarified butter",vegetarian,10,20,30,sweet,dessert,maharashtra,west,0,Balanced
Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,60,10,70,spicy,starter,maharashtra,west,2,Balanced
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,25,30,55,spicy,main course,maharashtra,west,7,Healthy
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,25,60,85,spicy,main course,gujarat,west,9,Healthy
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",vegetarian,20,30,50,spicy,main course,maharashtra,west,13,Healthy
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non vegetarian,10,40,50,spicy,main course,goa,west,10,Healthy
Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",vegetarian,30,6,36,spicy,starter,gujarat,west,4,Healthy
Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt",vegetarian,27,36,63,spicy,starter,gujarat,west,0,Balanced
Khichu,"Rice flour, sesame seeds, baking soda, peanut oil",vegetarian,5,10,15,spicy,starter,gujarat,west,3,Healthy
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,15,30,45,spicy,starter,gujarat,west,7,Healthy
Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper",vegetarian,27,36,63,unknown,starter,gujarat,west,-5,Unhealthy
Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",vegetarian,10,20,30,spicy,starter,gujarat,west,11,Healthy
Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,35,40,75,spicy,main course,gujarat,west,3,Healthy
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,12,40,52,sweet,dessert,rajasthan,west,11,Healthy
Cheera Doi,"Rice, mango, curd",vegetarian,27,36,63,sweet,dessert,west bengal,east,6,Healthy
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",vegetarian,10,30,40,sweet,dessert,assam,north east,-2,Balanced
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,10,20,30,unknown,main course,assam,north east,9,Healthy
Kumol Sawul,"Rice, eggs, carrot, beetroot",non vegetarian,27,36,63,spicy,main course,assam,north east,11,Healthy
Luchi,"Maida, vegetable oil",vegetarian,20,30,50,unknown,main course,west bengal,east,-7,Unhealthy
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",non vegetarian,5,20,25,spicy,main course,assam,north east,6,Healthy
Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil",non vegetarian,15,25,40,spicy,main course,assam,north east,13,Healthy
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",vegetarian,27,36,63,unknown,main course,assam,north east,12,Healthy
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,10,20,30,unknown,main course,assam,north east,9,Healthy
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,25,36,61,unknown,main course,manipur,north east,10,Healthy
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,27,36,63,spicy,main course,assam,north east,8,Healthy
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,15,25,40,unknown,main course,kerala,south,4,Healthy
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,10,40,50,spicy,main course,west bengal,east,7,Healthy
Goja,"Baking soda, clarified butter, oil, all purpose flour",vegetarian,20,60,80,sweet,dessert,west bengal,east,-9,Unhealthy
Hando Guri,"Jaggery, raisins",vegetarian,27,36,63,sweet,dessert,assam,north east,-1,Balanced
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",non vegetarian,20,40,60,spicy,main course,assam,north east,12,Healthy
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non vegetarian,15,30,45,unknown,main course,west bengal,east,6,Healthy
Kabiraji,"Fish fillet, besan, lemon, mint, ginger",non vegetarian,27,36,63,spicy,main course,west bengal,east,12,Healthy
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,27,36,63,spicy,main course,assam,north east,6,Healthy
Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",non vegetarian,27,36,63,spicy,main course,assam,north east,8,Healthy
Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",non vegetarian,27,36,63,spicy,main course,assam,north east,8,Healthy
Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",non vegetarian,27,36,63,spicy,main course,assam,north east,11,Healthy
Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",non vegetarian,27,36,63,spicy,main course,assam,north east,16,Healthy
Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",vegetarian,10,30,40,sweet,main course,west bengal,east,13,Healthy
Pakhala,"Curd, cooked rice, curry leaves, dry chilli",vegetarian,27,36,63,unknown,main course,odisha,east,3,Healthy
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,30,unknown,main course,assam,north east,4,Healthy
Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,27,36,63,sweet,dessert,assam,north east,-7,Unhealthy
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,15,50,65,spicy,main course,west bengal,east,7,Healthy
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,15,36,51,unknown,main course,kerala,south,4,Healthy
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,30,spicy,main course,west bengal,east,20,Healthy
Til Pitha,"Glutinous rice, black sesame seeds, gur",vegetarian,5,30,35,sweet,dessert,assam,north east,4,Healthy
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,80,sweet,dessert,goa,west,-6,Unhealthy
Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",vegetarian,27,36,63,sweet,dessert,jammu & kashmir,north,11,Healthy
Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",vegetarian,20,45,65,sweet,dessert,madhya pradesh,central,-6,Unhealthy
Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,27,36,63,sweet,dessert,goa,west,11,Healthy
chicken handi,"chicken, onion, tomato, spices, oil",non vegetarian,45,85,130,spicy,main course,gujarat,west,5,Healthy
fish fry,"fish, chili powder, turmeric, lemon juice, oil",non vegetarian,35,75,110,spicy,starter,gujarat,west,7,Healthy
egg curry,"egg, onion, tomato, masala, oil",non vegetarian,30,70,100,spicy,main course,gujarat,west,5,Healthy
mutton curry,"mutton, onion, tomato, garlic, ginger, masala",non vegetarian,40,90,130,spicy,main course,gujarat,west,13,Healthy
prawn masala,"prawn, onion, tomato, chili, curry leaves, masala",non vegetarian,35,80,115,spicy,main course,gujarat,west,7,Healthy
chicken biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,130,spicy,main course,gujarat,west,10,Healthy
egg biryani,"egg, rice, onion, tomato, spices",non vegetarian,35,80,115,spicy,main course,gujarat,west,7,Healthy
mutton biryani,"mutton, rice, onion, masala, curd",non vegetarian,45,100,145,spicy,main course,gujarat,west,4,Healthy
crab masala,"crab, onion, tomato, chili, garlic, masala",non vegetarian,40,85,125,spicy,main course,gujarat,west,12,Healthy
chicken kabab,"chicken, yogurt, chili, ginger, garlic, oil",non vegetarian,35,75,110,spicy,starter,gujarat,west,12,Healthy
prawn fry,"prawn, chili, turmeric, garlic, oil",non vegetarian,30,65,95,spicy,starter,gujarat,west,10,Healthy
fish curry,"fish, tamarind, onion, tomato, mustard, spices",non vegetarian,35,85,120,spicy,main course,gujarat,west,8,Healthy
mutton kheema fry,"mutton mince, chili, onion, tomato, masala",non vegetarian,35,80,115,spicy,starter,gujarat,west,5,Healthy
chicken patiala,"chicken, cashew, onion, tomato, butter, cream",non vegetarian,40,90,130,spicy,main course,gujarat,west,1,Balanced
egg roast,"egg, onion, pepper, chili, curry leaves",non vegetarian,30,70,100,spicy,starter,gujarat,west,3,Healthy
chicken chettinad,"chicken, onion, tomato, pepper, curry leaves, spices, oil",non vegetarian,40,80,120,spicy,main course,tamil nadu,south,5,Healthy
mutton chettinad,"mutton, coconut, onion, garlic, ginger, masala, oil",non vegetarian,45,90,135,spicy,main course,tamil nadu,south,7,Healthy
nattu kozhi kuzhambu,"country chicken, onion, tomato, chili, garlic, oil",non vegetarian,35,80,115,spicy,main course,tamil nadu,south,9,Healthy
meen kuzhambu,"fish, tamarind, onion, tomato, mustard, spices",non vegetarian,30,70,100,spicy,main course,tamil nadu,south,8,Healthy
vanjaram fish fry,"seer fish, chili powder, turmeric, lemon juice, oil",non vegetarian,30,60,90,spicy,starter,tamil nadu,south,7,Healthy
era thokku,"prawn, onion, tomato, pepper, chili, curry leaves",non vegetarian,35,70,105,spicy,main course,tamil nadu,south,7,Healthy
kozhi varuval,"chicken, chili, ginger, garlic, onion, curry leaves",non vegetarian,35,75,110,spicy,starter,tamil nadu,south,11,Healthy
kari dosa,"dosa batter, mutton keema, chili, egg, oil",non vegetarian,30,65,95,spicy,main course,tamil nadu,south,2,Balanced
mutton sukka,"mutton, coconut, pepper, chili, curry leaves, oil",non vegetarian,40,85,125,spicy,main course,tamil nadu,south,-1,Balanced
egg poriyal,"egg, onion, chili, pepper, curry leaves, oil",non vegetarian,30,60,90,spicy,starter,tamil nadu,south,1,Balanced
egg kothu parotta,"parotta, egg, onion, tomato, chili, oil",non vegetarian,35,70,105,spicy,main course,tamil nadu,south,1,Balanced
chicken kothu parotta,"parotta, chicken, onion, tomato, chili, masala",non vegetarian,40,80,120,spicy,main course,tamil nadu,south,3,Healthy
meen pollichathu,"fish, chili, onion, tomato, coconut, banana leaf",non vegetarian,35,70,105,spicy,main course,tamil nadu,south,11,Healthy
prawn biryani,"prawn, rice, onion, tomato, mint, garam masala",non vegetarian,45,90,135,spicy,main course,tamil nadu,south,7,Healthy
pepper chicken masala,"chicken, pepper, onion, garlic, ginger, tomato",non vegetarian,35,80,115,spicy,main course,tamil nadu,south,15,Healthy
mutton chukka,"mutton, onion, pepper, chili, curry leaves",non vegetarian,40,90,130,spicy,starter,tamil nadu,south,1,Balanced
chicken chukka,"chicken, onion, pepper, chili, curry leaves",non vegetarian,35,80,115,spicy,starter,tamil nadu,south,3,Healthy
crab rasam,"crab, tamarind, tomato, garlic, pepper, rasam powder",non vegetarian,30,65,95,spicy,starter,tamil nadu,south,12,Healthy
chicken rasam,"chicken, tamarind, tomato, garlic, chili, rasam powder",non vegetarian,30,65,95,spicy,starter,tamil nadu,south,11,Healthy
nethili fish fry,"anchovy fish, chili powder, turmeric, lemon juice, oil",non vegetarian,30,60,90,spicy,starter,tamil nadu,south,3,Healthy
shrimp curry,"shrimp, onion, tomato, chili, garlic, coconut",non vegetarian,35,80,115,spicy,main course,tamil nadu,south,11,Healthy
mutton gravy,"mutton, onion, tomato, chili, spices, oil",non vegetarian,45,90,135,spicy,main course,tamil nadu,south,3,Healthy
quail roast,"quail meat, chili, ginger, garlic, onion, oil",non vegetarian,35,70,105,spicy,starter,tamil nadu,south,9,Healthy
chicken 65,"chicken, chili, curd, corn flour, ginger garlic paste, oil",non vegetarian,30,60,90,spicy,starter,tamil nadu,south,4,Healthy
madurai mutton kuzhambu,"mutton, onion, tamarind, chili, garlic, spices",non vegetarian,45,100,145,spicy,main course,tamil nadu,south,5,Healthy
chicken ghee roast,"chicken, ghee, chili, garlic, masala",non vegetarian,40,90,130,spicy,main course,karnataka,south,4,Healthy
mangalore fish curry,"fish, coconut, tamarind, chili, curry leaves",non vegetarian,35,80,115,spicy,main course,karnataka,south,4,Healthy
kori rotti,"chicken, coconut milk, chili, garlic, spices",non vegetarian,35,75,110,spicy,main course,karnataka,south,7,Healthy
chicken sukka,"chicken, coconut, chili, pepper, curry leaves",non vegetarian,35,80,115,spicy,main course,karnataka,south,3,Healthy
prawn roast,"prawn, chili, garlic, tomato, masala, oil",non vegetarian,35,75,110,spicy,starter,karnataka,south,9,Healthy
kerala fish curry,"fish, coconut milk, tamarind, chili, curry leaves",non vegetarian,35,85,120,spicy,main course,kerala,south,4,Healthy
nadan chicken curry,"chicken, coconut, chili, onion, ginger, garlic",non vegetarian,40,90,130,spicy,main course,kerala,south,11,Healthy
mutton stew,"mutton, coconut milk, onion, pepper, cloves",non vegetarian,40,95,135,spicy,main course,kerala,south,5,Healthy
kolhapuri chicken,"chicken, chili, garlic, coconut, oil",non vegetarian,40,90,130,spicy,main course,maharashtra,west,5,Healthy
mutton rassa,"mutton, onion, tomato, chili, masala",non vegetarian,45,100,145,spicy,main course,maharashtra,west,5,Healthy
bombil fry,"bombil fish, chili, turmeric, lemon juice, oil",non vegetarian,35,70,105,spicy,starter,maharashtra,west,6,Healthy
prawn curry,"prawn, coconut, tamarind, curry leaves, spices",non vegetarian,35,85,120,spicy,main course,maharashtra,west,3,Healthy
bombay duck curry,"fish, tamarind, chili, onion, tomato",non vegetarian,35,85,120,spicy,main course,maharashtra,west,8,Healthy
kolhapuri mutton,"mutton, chili, garlic, coconut, spices",non vegetarian,45,100,145,spicy,main course,maharashtra,west,5,Healthy
mutton keema pav,"minced mutton, chili, onion, tomato, bread",non vegetarian,40,90,130,spicy,main course,maharashtra,west,1,Balanced
tawa fish fry,"fish, chili, turmeric, garlic, lemon juice, oil",non vegetarian,35,70,105,spicy,starter,maharashtra,west,11,Healthy
kolambi masala,"prawn, onion, tomato, chili, coconut, oil",non vegetarian,35,85,120,spicy,main course,maharashtra,west,5,Healthy
butter chicken,"chicken, butter, tomato, cream, masala",non vegetarian,45,95,140,spicy,main course,punjab,north,-1,Balanced
chicken tikka,"chicken, yogurt, chili, ginger, garlic",non vegetarian,40,85,125,spicy,starter,punjab,north,14,Healthy
tandoori chicken,"chicken, yogurt, chili powder, turmeric, oil",non vegetarian,45,90,135,spicy,starter,punjab,north,9,Healthy
fish amritsari,"fish, chili, gram flour, lemon, oil",non vegetarian,35,75,110,spicy,starter,punjab,north,6,Healthy
chicken keema,"chicken mince, onion, tomato, chili, masala",non vegetarian,40,85,125,spicy,main course,punjab,north,7,Healthy
seekh kabab,"minced mutton, onion, chili, ginger, garlic",non vegetarian,35,75,110,spicy,starter,punjab,north,8,Healthy
mutton seekh kabab,"mutton mince, chili, onion, masala, oil",non vegetarian,40,80,120,spicy,starter,punjab,north,-1,Balanced
chicken pakora,"chicken, gram flour, chili, coriander, oil",non vegetarian,30,65,95,spicy,starter,punjab,north,9,Healthy
chicken masala,"chicken, onion, tomato, chili, garam masala",non vegetarian,40,85,125,spicy,main course,punjab,north,7,Healthy
mutton keema masala,"mutton mince, chili, onion, tomato, oil",non vegetarian,40,90,130,spicy,main course,punjab,north,3,Healthy
egg bhurji,"egg, onion, chili, pepper, tomato, oil",non vegetarian,25,60,85,spicy,starter,punjab,north,5,Healthy
amritsari fish fry,"fish, gram flour, chili, turmeric, lemon",non vegetarian,35,75,110,spicy,starter,punjab,north,13,Healthy
macha besara,"fish, mustard, chili, garlic, turmeric, oil",non vegetarian,35,85,120,spicy,main course,odisha,east,11,Healthy
crab fry,"crab, chili, turmeric, curry leaves, oil",non vegetarian,35,75,110,spicy,starter,odisha,east,7,Healthy
chicken roast,"chicken, chili, ginger, garlic, onion, masala",non vegetarian,40,85,125,spicy,main course,odisha,east,11,Healthy
laal maas,"mutton, red chili, garlic, yogurt, oil",non vegetarian,45,95,140,spicy,main course,rajasthan,west,6,Healthy
safed maas,"mutton, yogurt, cream, almond paste, spices",non vegetarian,40,90,130,spicy,main course,rajasthan,west,0,Balanced
tunday kebab,"minced meat, ginger, garlic, chili, spices",non vegetarian,40,85,125,spicy,starter,uttar pradesh,north,8,Healthy
nihari,"mutton, onion, ginger, garlic, slow spices",non vegetarian,45,100,145,spicy,main course,uttar pradesh,north,9,Healthy
chicken korma,"chicken, yogurt, onion, cashew, masala",non vegetarian,40,90,130,spicy,main course,uttar pradesh,north,8,Healthy
mutton korma,"mutton, yogurt, onion, tomato, spices",non vegetarian,45,95,140,spicy,main course,uttar pradesh,north,8,Healthy
biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,130,spicy,main course,uttar pradesh,north,10,Healthy
seekh kebab,"minced mutton, onion, chili, garlic, oil",non vegetarian,35,80,115,spicy,starter,uttar pradesh,north,2,Balanced
kosha mangsho,"mutton, onion, tomato, garlic, mustard oil, spices",non vegetarian,45,95,140,spicy,main course,west bengal,east,10,Healthy
ilish macher jhol,"hilsa fish, mustard, chili, turmeric, oil",non vegetarian,35,80,115,spicy,main course,west bengal,east,7,Healthy
chingri malai curry,"prawn, coconut milk, onion, ginger, garlic",non vegetarian,40,90,130,spicy,main course,west bengal,east,11,Healthy
dimer dalna,"egg, potato, onion, tomato, spices",non vegetarian,30,75,105,spicy,main course,west bengal,east,8,Healthy
muri ghonto,"fish head, rice, spices, mustard oil",non vegetarian,35,85,120,spicy,main course,west bengal,east,3,Healthy
prawn cutlet,"prawn, bread crumbs, chili, ginger, garlic",non vegetarian,30,70,100,spicy,starter,west bengal,east,11,Healthy
chicken curry,"chicken, onion, tomato, chili, mustard oil",non vegetarian,40,90,130,spicy,main course,west bengal,east,8,Healthy
egg roll,"egg, paratha, onion, chili, sauce, oil",non vegetarian,25,60,85,spicy,starter,west bengal,east,-5,Unhealthy
